loc_rowid,pl_name,hostname,sy_snum,sy_pnum,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,sy_dist,sy_disterr1,sy_disterr2
3331,Kepler-1980 b,Kepler-1980,1,1,2023,33.02571790,0.00061810,-0.00061810,0,0.204900,,,0,2.210,0.360,-0.120,0,5.52000,,,0,1709.4000000,145.4100000,-124.6000000
3332,Kepler-1981 b,Kepler-1981,1,1,2023,453.54212000,0.00350100,-0.00350100,0,1.329200,,,0,9.230,1.760,-4.100,0,62.50000,,,0,659.3950000,6.8200000,-6.6840000
3333,Kepler-1982 b,Kepler-1982,1,1,2023,3.82315697,0.00004481,-0.00004481,0,0.051100,,,0,0.770,0.140,-0.040,0,0.38100,,,0,558.8550000,7.4480000,-7.2590000
3334,Kepler-1983 b,Kepler-1983,1,1,2023,7.32851947,0.00002311,-0.00002311,0,0.068900,,,0,2.330,0.130,-0.180,0,6.04000,,,0,424.4280000,3.4950000,-3.4390000
3335,Kepler-1984 b,Kepler-1984,1,1,2023,1.99281234,0.00000783,-0.00000783,0,0.023800,,,0,6.810,0.750,-0.900,0,37.30000,,,0,,,
3336,Kepler-1985 b,Kepler-1985,1,1,2023,3.42064689,0.00001928,-0.00001928,0,0.042600,,,0,2.270,0.250,-0.220,0,5.77000,,,0,,,
3337,Kepler-1986 b,Kepler-1986,1,1,2023,19.54896660,0.00013960,-0.00013960,0,0.130700,,,0,1.890,0.350,-0.150,0,4.23000,,,0,912.0850000,30.4555000,-30.4555000
3338,Kepler-1987 b,Kepler-1987,1,4,2023,2.34586300,0.00000955,-0.00000955,0,0.031800,,,0,1.230,0.110,-0.090,0,2.04000,,,0,595.6830000,10.6080000,-10.2490000
3339,Kepler-1987 c,Kepler-1987,1,4,2023,3.64830183,0.00001621,-0.00001621,0,0.042700,,,0,1.330,0.120,-0.090,0,2.33000,,,0,595.6830000,10.6080000,-10.2490000
3340,Kepler-1987 d,Kepler-1987,1,4,2023,5.64491415,0.00000878,-0.00000878,0,0.057100,,,0,2.660,0.250,-0.180,0,7.56000,,,0,595.6830000,10.6080000,-10.2490000
3341,Kepler-1987 e,Kepler-1987,1,4,2023,8.74292005,0.00003311,-0.00003311,0,0.076500,,,0,1.920,0.180,-0.130,0,4.35000,,,0,595.6830000,10.6080000,-10.2490000
3342,Kepler-1988 b,Kepler-1988,1,1,2023,11.49500229,0.00008821,-0.00008821,0,0.103800,,,0,1.530,0.300,-0.490,0,2.96000,,,0,513.4260000,,
3343,Kepler-1989 b,Kepler-1989,1,1,2023,10.16102353,0.00000918,-0.00000918,0,0.091800,,,0,4.620,1.370,-0.730,0,19.30000,,,0,1252.1300000,33.3300000,-31.6800000
3344,Kepler-199 b,Kepler-199,1,2,2014,23.63760400,0.00005000,-0.00005000,0,0.158000,,,0,3.110,0.560,-0.560,0,9.85000,,,0,521.0540000,4.2280000,-4.2280000
3345,Kepler-199 c,Kepler-199,1,2,2014,67.09340800,0.00019000,-0.00019000,0,0.316000,,,0,3.250,0.580,-0.580,0,10.60000,,,0,521.0540000,4.2280000,-4.2280000
3346,Kepler-1990 b,Kepler-1990,1,2,2023,1.73513619,0.00000028,-0.00000028,0,0.028600,,,0,3.270,0.540,-0.330,0,10.70000,,,0,392.7390000,4.2400000,-4.1520000
3347,Kepler-1990 c,Kepler-1990,1,2,2023,4.06844957,0.00001212,-0.00001212,0,0.050400,,,0,0.980,0.170,-0.100,0,0.90400,,,0,392.7390000,4.2400000,-4.1520000
3348,Kepler-1991 b,Kepler-1991,1,2,2023,13.26079792,0.00009795,-0.00009795,0,0.106500,,,0,1.470,0.200,-0.210,0,2.76000,,,0,855.8200000,14.3650000,-13.9060000
3349,Kepler-1991 c,Kepler-1991,1,2,2023,22.79020351,0.00006878,-0.00006878,0,0.152800,,,0,2.570,0.360,-0.360,0,7.13000,,,0,855.8200000,14.3650000,-13.9060000
3350,Kepler-1992 b,Kepler-1992,1,1,2023,15.61122380,0.00012750,-0.00012750,0,0.116900,,,0,0.910,0.090,-0.050,0,0.69300,,,0,532.9550000,4.0410000,-4.0410000
3351,Kepler-1993 b,Kepler-1993,1,1,2023,26.65657370,0.00020520,-0.00020520,0,0.194300,,,0,4.150,1.280,-2.980,0,16.10000,,,0,1031.9100000,18.3700000,-18.3700000
3352,Kepler-1994 b,Kepler-1994,1,1,2023,4.61225043,0.00003445,-0.00003445,0,0.053000,,,0,0.510,0.060,-0.050,0,0.08700,,,0,241.9910000,1.4650000,-1.4480000
3353,Kepler-1995 b,Kepler-1995,1,1,2023,73.75788750,0.00043040,-0.00043040,0,0.325900,,,0,4.280,2.210,-0.660,0,16.90000,,,0,595.3310000,9.5080000,-9.2200000
3354,Kepler-1996 b,Kepler-1996,1,2,2023,32.37618300,0.00013110,-0.00013110,0,0.178900,,,0,2.260,0.160,-0.070,0,5.73000,,,0,440.5610000,4.4200000,-4.3340000
3355,Kepler-1996 c,Kepler-1996,1,2,2023,92.72972480,0.00039800,-0.00039800,0,0.360800,,,0,2.810,0.200,-0.080,0,8.30000,,,0,440.5610000,4.4200000,-4.3340000
3356,Kepler-1997 b,Kepler-1997,1,1,2023,26.75758660,0.00029420,-0.00029420,0,0.181500,,,0,2.280,0.720,-0.280,0,5.82000,,,0,1502.3400000,67.1500000,-61.7300000
3357,Kepler-1998 b,Kepler-1998,1,1,2023,3.03267135,0.00001374,-0.00001374,0,0.040500,,,0,0.600,0.080,-0.040,0,0.15600,,,0,340.9650000,2.5390000,-2.5020000
3358,Kepler-1999 b,Kepler-1999,1,1,2023,8.73967580,0.00030920,-0.00030920,0,0.071300,,,0,3.290,0.260,-0.300,0,10.80000,,,0,701.2550000,18.4080000,-17.5050000
3359,Kepler-20 b,Kepler-20,2,6,2011,3.69610490,0.00000160,-0.00000160,0,0.045650,0.000890,-0.000890,0,1.773,0.053,-0.030,0,9.70000,1.30000,-1.30000,0,282.5630000,1.7760000,-1.7530000
